Title,State,Genre,User_ID
Star Trek Into Darkness,liked,"Action, Adventure, Science Fiction",5081
Star Wars,liked,"Adventure, Action, Science Fiction",5081
Doctor Strange,liked,"Action, Adventure, Fantasy, Science Fiction",5081
The Avengers,liked,"Science Fiction, Action, Adventure",5081
Transformers: Age of Extinction,liked,"Science Fiction, Action, Adventure",5081
Against the Ice,liked,"Adventure, History, Drama",5081
Babe: Pig in the City,liked,"Family, Adventure, Comedy, Drama, Fantasy",5081
Beowulf & Grendel,disliked,"Action, Adventure, Drama, Fantasy",5081
Striptease,disliked,"Comedy, Crime, Drama",5081
Revolutionary Girl Utena: The Adolescence of Utena,disliked,"Animation, Fantasy, Action, Romance",5081
Spider-Man: No Way Home,liked,"Action, Adventure, Science Fiction",5081
The King's Man,liked,"Action, Adventure, Thriller, War",5081
Kimi,liked,Thriller,5081
Fistful of Vengeance,liked,"Action, Crime, Fantasy",5081
Resident Evil: Welcome to Raccoon City,disliked,"Horror, Action, Science Fiction",5081
The Day the Earth Stood Still,liked,"Drama, Science Fiction",5119
Venom,liked,"Science Fiction, Action",5119
Awake,liked,"Drama, Science Fiction, Thriller",5119
Halo: Nightfall,liked,Science Fiction,5119
Star Trek Into Darkness,liked,"Action, Adventure, Science Fiction",5119
West Side Story,liked,"Drama, Romance, Crime",5119
Desperate Riders,liked,"Western, Action",5119
Turning Red,liked,"Animation, Family, Comedy, Fantasy",5119
The Simpsons in Plusaversary,liked,"Animation, Comedy, Fantasy",5119
Queen of Spades,liked,Horror,5119
Robin Hood,liked,"Adventure, Action, Thriller",5123
Batman,liked,"Action, Adventure, Crime, Science Fiction, Thriller, War",5123
Alice in Wonderland,liked,"Family, Fantasy, Adventure",5123
The Courier,,"Crime, Action, Drama, Thriller",5123
Star Trek Into Darkness,liked,"Action, Adventure, Science Fiction",5123
Star Trek Into Darkness,liked,"Action, Adventure, Science Fiction",5126
Star Wars,liked,"Adventure, Action, Science Fiction",5126
Robin Hood,liked,"Adventure, Action, Thriller",5126
Hercules,liked,"Action, Adventure",5126
Doctor Strange,liked,"Action, Adventure, Fantasy, Science Fiction",5126
