User_ID,Title,Score,Genre
0.0,Steel Rain,2.0,"Action, Thriller"
0.0,While You Were Sleeping,10.0,"Romance, Comedy"
0.0,Violet Evergarden: The Movie,5.0,"Animation, Fantasy, Romance, Drama"
0.0,Striptease,3.0,"Comedy, Crime, Drama"
0.0,Zootopia,8.0,"Animation, Adventure, Family, Comedy"
1.0,Lockout,1.0,"Action, Thriller, Science Fiction"
1.0,He's Just Not That Into You,7.0,"Comedy, Romance, Drama"
1.0,Bandidas,6.0,"Action, Comedy, Western, Crime"
1.0,Bears,10.0,Documentary
1.0,El amarre,3.0,Horror
2.0,After Yang,10.0,"Drama, Science Fiction"
2.0,The Guilt Trip,5.0,Comedy
2.0,Mostly Ghostly 3: One Night in Doom House,2.0,"Family, Fantasy, Horror"
2.0,The Special,1.0,"Horror, Comedy"
2.0,"Mektoub, My Love: Canto Uno",4.0,"Romance, Drama"
3.0,Peligro en tu mirada,7.0,"Drama, Thriller"
3.0,Nocturnal Animals,0.0,"Drama, Thriller"
3.0,Bright,2.0,"Fantasy, Action, Thriller"
3.0,Backdraft,3.0,"Crime, Drama, Thriller"
3.0,Little Children,10.0,"Drama, Romance, Comedy"
4.0,Vox Lux,5.0,"Drama, Music"
4.0,Mandy,5.0,"Horror, Action, Thriller, Fantasy"
4.0,The Maltese Falcon,5.0,"Mystery, Crime, Thriller"
4.0,Kill Your Darlings,4.0,"Drama, Romance, Thriller"
4.0,Respect,10.0,"Music, Drama, History"
5.0,Pokémon: Giratina and the Sky Warrior,0.0,"Family, Adventure, Animation, Fantasy"
5.0,JLA Adventures: Trapped in Time,9.0,"Family, Animation, Action, Science Fiction"
5.0,The Loud House Movie,8.0,"Animation, Family, Comedy, Music, Fantasy"
5.0,Santa Paws 2: The Santa Pups,0.0,"Family, Fantasy, Adventure"
5.0,Asakusa Kid,8.0,Drama
6.0,The Haunted Mansion,1.0,"Thriller, Fantasy, Comedy, Family, Mystery"
6.0,Who's Harry Crumb?,3.0,"Comedy, Crime, Mystery"
6.0,Knives Out,3.0,"Comedy, Crime, Mystery"
6.0,Return to House on Haunted Hill,0.0,"Horror, Thriller"
6.0,Cadaver,3.0,"Drama, Horror, Thriller"
7.0,Serenity,4.0,"Thriller, Mystery, Drama"
7.0,A Forbidden Orange,6.0,"Documentary, History"
7.0,Little Nicky,1.0,"Comedy, Fantasy, Romance, Horror"
7.0,Knocked Up,2.0,"Comedy, Romance, Drama"
7.0,Age of Dinosaurs,8.0,"Action, Science Fiction"
8.0,Me and Earl and the Dying Girl,3.0,"Comedy, Drama"
8.0,Disobedience,0.0,"Drama, Romance"
8.0,Alice in Wonderland,9.0,"Family, Fantasy, Adventure"
8.0,Second Act,3.0,"Romance, Comedy"
8.0,Porky's,6.0,Comedy
9.0,The Visit,8.0,"Horror, Thriller, Mystery"
9.0,The Land Before Time III: The Time of the Great Giving,3.0,"Animation, Adventure, Family"
9.0,Mighty Flash,8.0,Drama
9.0,Child's Play 2,3.0,"Horror, Thriller"
9.0,An American Werewolf in Paris,6.0,"Horror, Comedy"
10.0,Fire Down Below,9.0,"Action, Thriller"
10.0,The Founder,3.0,"Drama, History"
10.0,Frozen,2.0,Thriller
10.0,The Wing or the Thigh?,10.0,Comedy
10.0,"Where'd You Go, Bernadette",9.0,"Drama, Comedy"
11.0,God of Gamblers,2.0,"Action, Comedy, Drama"
11.0,Ocean's Twelve,2.0,"Thriller, Crime"
11.0,Phobias,7.0,"Horror, Thriller"
11.0,All Eyez on Me,2.0,"Music, Drama"
11.0,Can You Keep a Secret?,10.0,"Romance, Comedy"
12.0,Miss Congeniality,2.0,"Comedy, Crime, Action"
12.0,Free Solo,2.0,"Documentary, Adventure"
12.0,A Goofy Movie,10.0,"Romance, Animation, Family, Comedy, Adventure"
12.0,Gulliver's Travels,7.0,"Family, Comedy, Adventure, Fantasy"
12.0,Mickey's Tale of Two Witches,2.0,Animation
13.0,Be Somebody,4.0,"Drama, Comedy, Romance"
13.0,Lamb,4.0,Drama
13.0,Show Dogs,0.0,"Adventure, Crime, Family, Comedy"
13.0,Blood Ties,6.0,"Thriller, Crime, Drama"
13.0,Scooby-Doo! and WWE: Curse of the Speed Demon,7.0,"Family, Animation, Comedy, Mystery"
14.0,Hotel Desire,9.0,"Drama, Romance"
14.0,LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,4.0,"Animation, Action, Adventure, Family, Comedy"
14.0,The Battleship Island,7.0,"Action, History, Drama"
14.0,Life Is Beautiful,3.0,"Comedy, Drama"
14.0,Lizzie,1.0,"Crime, Drama, Thriller"
15.0,Infinite,10.0,"Science Fiction, Action, Thriller"
15.0,Dark Water,1.0,Horror
15.0,Belle de Jour,8.0,"Drama, Romance"
15.0,Scary Movie 5,7.0,Comedy
15.0,Battleship Potemkin,8.0,"Drama, History"
16.0,Menace II Society,9.0,"Drama, Crime"
16.0,The Fall of the Roman Empire,2.0,"Drama, History, War"
16.0,The Young Master,6.0,"Action, Comedy"
16.0,The Land Before Time VI: The Secret of Saurus Rock,3.0,"Animation, Adventure, Family"
16.0,The Last Warrior,1.0,"Action, Drama, Fantasy, History, Adventure"
17.0,The Sandlot,5.0,"Family, Comedy"
17.0,BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE VIEWING,2.0,Music
17.0,Zapped!,6.0,Comedy
17.0,Lupin the Third vs. Detective Conan: The Movie,3.0,"Animation, Action, Thriller"
17.0,Case 39,0.0,"Horror, Mystery, Thriller"
18.0,Rudolph the Red-Nosed Reindeer: The Movie,0.0,"Animation, Family, Music"
18.0,30 Minutes or Less,0.0,"Action, Adventure, Comedy"
18.0,Just Married,1.0,"Comedy, Romance"
18.0,Kill 'em All,5.0,"Action, Crime"
18.0,True Legend,4.0,"Action, Fantasy"
19.0,The Happening,0.0,"Thriller, Science Fiction"
19.0,Outlander,3.0,"Fantasy, Action, Science Fiction"
19.0,Body Heat,2.0,"Crime, Thriller, Romance"
19.0,The Emperor's New Groove,10.0,"Adventure, Animation, Comedy, Family, Fantasy"
